Endpoint,Family,Lab,Type,USD/min @720p,Price basis,Max frames,Duration options,Quality options,Aspect ratios,Audio?,Start frame?,End frame?,Multi-cut?,Task,Lipsync?,Strongest side,Weakest side,Strongest use-cases,Weakest use-cases
fal-ai/ltx-2.3-quality/reference-video-to-video/lora,LTX-2.3,LTX,video-to-video,3.59,$0.0027075/MP x 0.9216 MP/frame x 24fps x 60s,481,0.4–20.0 s (via num_frames),"auto, square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",fixed,Yes — native generation,Yes,Yes,No — single shot,edit/restyle,No,"Widest configuration surface on fal — 22B/quality/distilled/LoRA variants, audio, and per-megapixel billing that makes short clips very cheap.",Endpoint sprawl is confusing; the base 2.3 tier starts at 1080p (no cheaper 720p tier); LoRA variants cost more per megapixel.,"Narrated clips up to 20 s with native audio on per-megapixel pricing, vertical 4K social, LoRA-styled brand looks.","Cheap sub-1080p drafting (no lower tier exists), teams without patience for the endpoint sprawl."
fal-ai/ltx-2.3-quality/render-to-real,LTX-2.3,LTX,video-to-video,3.2,$0.0024075/MP x 0.9216 MP/frame x 24fps x 60s,481,0.4–20.0 s (via num_frames),"480p, 720p",fixed,Yes — native generation,Yes,No,No — single shot,edit/restyle,No,"Widest configuration surface on fal — 22B/quality/distilled/LoRA variants, audio, and per-megapixel billing that makes short clips very cheap.",Endpoint sprawl is confusing; the base 2.3 tier starts at 1080p (no cheaper 720p tier); LoRA variants cost more per megapixel.,"Narrated clips up to 20 s with native audio on per-megapixel pricing, vertical 4K social, LoRA-styled brand looks.","Cheap sub-1080p drafting (no lower tier exists), teams without patience for the endpoint sprawl."
fal-ai/ltx-2.3-quality/text-to-video,LTX-2.3,LTX,text-to-video,3.2,$0.0024075/MP x 0.9216 MP/frame x 24fps x 60s,481,0.4–20.0 s (via num_frames),"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",fixed,Yes — native generation,No (text-only),No,No — single shot,generate,No,"Widest configuration surface on fal — 22B/quality/distilled/LoRA variants, audio, and per-megapixel billing that makes short clips very cheap.",Endpoint sprawl is confusing; the base 2.3 tier starts at 1080p (no cheaper 720p tier); LoRA variants cost more per megapixel.,"Narrated clips up to 20 s with native audio on per-megapixel pricing, vertical 4K social, LoRA-styled brand looks.","Cheap sub-1080p drafting (no lower tier exists), teams without patience for the endpoint sprawl."
fal-ai/ltx-2.3-quality/text-to-video/lora,LTX-2.3,LTX,text-to-video,3.59,$0.0027075/MP x 0.9216 MP/frame x 24fps x 60s,481,0.4–20.0 s (via num_frames),"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",fixed,Yes — native generation,No (text-only),No,No — single shot,generate,No,"Widest configuration surface on fal — 22B/quality/distilled/LoRA variants, audio, and per-megapixel billing that makes short clips very cheap.",Endpoint sprawl is confusing; the base 2.3 tier starts at 1080p (no cheaper 720p tier); LoRA variants cost more per megapixel.,"Narrated clips up to 20 s with native audio on per-megapixel pricing, vertical 4K social, LoRA-styled brand looks.","Cheap sub-1080p drafting (no lower tier exists), teams without patience for the endpoint sprawl."
fal-ai/ltx-2.3-quality/water-simulation,LTX-2.3,LTX,video-to-video,3.2,$0.0024075/MP x 0.9216 MP/frame x 24fps x 60s,481,0.4–20.0 s (via num_frames),"480p, 720p",fixed,Yes — native generation,No,No,No — single shot,edit/restyle,No,"Widest configuration surface on fal — 22B/quality/distilled/LoRA variants, audio, and per-megapixel billing that makes short clips very cheap.",Endpoint sprawl is confusing; the base 2.3 tier starts at 1080p (no cheaper 720p tier); LoRA variants cost more per megapixel.,"Narrated clips up to 20 s with native audio on per-megapixel pricing, vertical 4K social, LoRA-styled brand looks.","Cheap sub-1080p drafting (no lower tier exists), teams without patience for the endpoint sprawl."
fal-ai/ltx-2.3/extend-video,LTX-2.3,LTX,video-to-video,6.0,$0.10/s x 60s,480,2–20 s (continuous),fixed,fixed,No,No,No,No — single shot,extend,Yes — dialogue via prompt (native audio),"Widest configuration surface on fal — 22B/quality/distilled/LoRA variants, audio, and per-megapixel billing that makes short clips very cheap.",Endpoint sprawl is confusing; the base 2.3 tier starts at 1080p (no cheaper 720p tier); LoRA variants cost more per megapixel.,"Narrated clips up to 20 s with native audio on per-megapixel pricing, vertical 4K social, LoRA-styled brand looks.","Cheap sub-1080p drafting (no lower tier exists), teams without patience for the endpoint sprawl."
fal-ai/ltx-2.3/image-to-video,LTX-2.3,LTX,image-to-video,4.8,$0.08/s x 60s,250,"6, 8, 10 s","1080p, 1440p, 2160p","auto, 16:9, 9:16",Yes — native generation,Yes,Yes,No — single shot,generate,Yes — dialogue via prompt (native audio),"Widest configuration surface on fal — 22B/quality/distilled/LoRA variants, audio, and per-megapixel billing that makes short clips very cheap.",Endpoint sprawl is confusing; the base 2.3 tier starts at 1080p (no cheaper 720p tier); LoRA variants cost more per megapixel.,"Narrated clips up to 20 s with native audio on per-megapixel pricing, vertical 4K social, LoRA-styled brand looks.","Cheap sub-1080p drafting (no lower tier exists), teams without patience for the endpoint sprawl."
fal-ai/ltx-2.3/image-to-video/fast,LTX-2.3,LTX,image-to-video,3.6,$0.06/s x 60s,500,"6, 8, 10, 12, 14, 16, 18, 20 s","1080p, 1440p, 2160p","auto, 16:9, 9:16",Yes — native generation,Yes,Yes,No — single shot,generate,Yes — dialogue via prompt (native audio),"Widest configuration surface on fal — 22B/quality/distilled/LoRA variants, audio, and per-megapixel billing that makes short clips very cheap.",Endpoint sprawl is confusing; the base 2.3 tier starts at 1080p (no cheaper 720p tier); LoRA variants cost more per megapixel.,"Narrated clips up to 20 s with native audio on per-megapixel pricing, vertical 4K social, LoRA-styled brand looks.","Cheap sub-1080p drafting (no lower tier exists), teams without patience for the endpoint sprawl."
fal-ai/ltx-2.3/reframe,LTX-2.3,LTX,video-to-video,12.0,$0.20/s @720p x 60s,,fixed / not exposed,"720p, 1080p","1:1, 4:5, 5:4, 9:16, 16:9",No,No,No,No — single shot,utility,No,"Widest configuration surface on fal — 22B/quality/distilled/LoRA variants, audio, and per-megapixel billing that makes short clips very cheap.",Endpoint sprawl is confusing; the base 2.3 tier starts at 1080p (no cheaper 720p tier); LoRA variants cost more per megapixel.,"Narrated clips up to 20 s with native audio on per-megapixel pricing, vertical 4K social, LoRA-styled brand looks.","Cheap sub-1080p drafting (no lower tier exists), teams without patience for the endpoint sprawl."
fal-ai/ltx-2.3/retake-video,LTX-2.3,LTX,video-to-video,6.0,$0.10/s x 60s,480,2–20 s (continuous),fixed,fixed,No,No,No,No — single shot,extend,Yes — dialogue via prompt (native audio),"Widest configuration surface on fal — 22B/quality/distilled/LoRA variants, audio, and per-megapixel billing that makes short clips very cheap.",Endpoint sprawl is confusing; the base 2.3 tier starts at 1080p (no cheaper 720p tier); LoRA variants cost more per megapixel.,"Narrated clips up to 20 s with native audio on per-megapixel pricing, vertical 4K social, LoRA-styled brand looks.","Cheap sub-1080p drafting (no lower tier exists), teams without patience for the endpoint sprawl."
fal-ai/ltx-2.3/text-to-video,LTX-2.3,LTX,text-to-video,4.8,$0.08/s x 60s,250,"6, 8, 10 s","1080p, 1440p, 2160p","16:9, 9:16",Yes — native generation,No (text-only),No,No — single shot,generate,Yes — dialogue via prompt (native audio),"Widest configuration surface on fal — 22B/quality/distilled/LoRA variants, audio, and per-megapixel billing that makes short clips very cheap.",Endpoint sprawl is confusing; the base 2.3 tier starts at 1080p (no cheaper 720p tier); LoRA variants cost more per megapixel.,"Narrated clips up to 20 s with native audio on per-megapixel pricing, vertical 4K social, LoRA-styled brand looks.","Cheap sub-1080p drafting (no lower tier exists), teams without patience for the endpoint sprawl."
fal-ai/ltx-2.3/text-to-video/fast,LTX-2.3,LTX,text-to-video,3.6,$0.06/s x 60s,500,"6, 8, 10, 12, 14, 16, 18, 20 s","1080p, 1440p, 2160p","16:9, 9:16",Yes — native generation,No (text-only),No,No — single shot,generate,Yes — dialogue via prompt (native audio),"Widest configuration surface on fal — 22B/quality/distilled/LoRA variants, audio, and per-megapixel billing that makes short clips very cheap.",Endpoint sprawl is confusing; the base 2.3 tier starts at 1080p (no cheaper 720p tier); LoRA variants cost more per megapixel.,"Narrated clips up to 20 s with native audio on per-megapixel pricing, vertical 4K social, LoRA-styled brand looks.","Cheap sub-1080p drafting (no lower tier exists), teams without patience for the endpoint sprawl."
lightricks/ltx-2.5/image-to-video/fast,LTX-2.5,lightricks,image-to-video,5.4,$0.09/s @720p x 60s,500,"6, 8, 10, 12, 14, 16, 18, 20, auto","720p, 1080p, 1440p, 2160p","auto, 16:9, 9:16",Yes — native generation,Yes,Yes,No — single shot,generate,No,Open-source synchronized audio+video in one pass; pro/fast tiers; best open alternative to Veo for talking scenes.,Newer and less battle-tested; megapixel billing punishes long or high-res renders.,Dialogue shorts and music-driven content where AV sync sets the pacing; final renders in pro mode; open-weights pipelines that need audio.,"Non-speech ambient soundscapes (audio quality drops without dialogue), very long continuous clips."
lightricks/ltx-2.5/image-to-video/pro,LTX-2.5,lightricks,image-to-video,10.2,$0.17/s @720p x 60s,250,"6, 8, 10, auto","720p, 1080p","auto, 16:9, 9:16",Yes — native generation,Yes,Yes,No — single shot,generate,No,Open-source synchronized audio+video in one pass; pro/fast tiers; best open alternative to Veo for talking scenes.,Newer and less battle-tested; megapixel billing punishes long or high-res renders.,Dialogue shorts and music-driven content where AV sync sets the pacing; final renders in pro mode; open-weights pipelines that need audio.,"Non-speech ambient soundscapes (audio quality drops without dialogue), very long continuous clips."
lightricks/ltx-2.5/text-to-video/fast,LTX-2.5,lightricks,text-to-video,5.4,$0.09/s @720p x 60s,500,"6, 8, 10, 12, 14, 16, 18, 20, auto","720p, 1080p, 1440p, 2160p","16:9, 9:16",Yes — native generation,No (text-only),No,No — single shot,generate,Yes — dialogue via prompt (native audio),Open-source synchronized audio+video in one pass; pro/fast tiers; best open alternative to Veo for talking scenes.,Newer and less battle-tested; megapixel billing punishes long or high-res renders.,Dialogue shorts and music-driven content where AV sync sets the pacing; final renders in pro mode; open-weights pipelines that need audio.,"Non-speech ambient soundscapes (audio quality drops without dialogue), very long continuous clips."
lightricks/ltx-2.5/text-to-video/pro,LTX-2.5,lightricks,text-to-video,10.2,$0.17/s @720p x 60s,250,"6, 8, 10, auto","720p, 1080p","16:9, 9:16",Yes — native generation,No (text-only),No,No — single shot,generate,Yes — dialogue via prompt (native audio),Open-source synchronized audio+video in one pass; pro/fast tiers; best open alternative to Veo for talking scenes.,Newer and less battle-tested; megapixel billing punishes long or high-res renders.,Dialogue shorts and music-driven content where AV sync sets the pacing; final renders in pro mode; open-weights pipelines that need audio.,"Non-speech ambient soundscapes (audio quality drops without dialogue), very long continuous clips."
fal-ai/ltx-video,LTX-Video (legacy),LTX,text-to-video,0.24,$0.02 per 5s video -> x60,121,~5 s (121 frames @24fps),fixed,fixed,No,No (text-only),No,No — single shot,generate,No,Extremely fast and cheap; fully open weights; good for previews and iteration.,"Visibly dated quality — soft textures, weak coherence past ~3s, no audio.",Instant previews and animatic drafts; prompt testing before spending on a frontier model.,Anything a client will see.
fal-ai/ltx-video-13b-distilled,LTX-Video (legacy),LTX,text-to-video,0.48,$0.04 per 5s video -> x60,1441,0.4–60.0 s (via num_frames),"480p, 720p","9:16, 1:1, 16:9",No,No (text-only),No,No — single shot,generate,No,Extremely fast and cheap; fully open weights; good for previews and iteration.,"Visibly dated quality — soft textures, weak coherence past ~3s, no audio.",Instant previews and animatic drafts; prompt testing before spending on a frontier model.,Anything a client will see.
fal-ai/ltx-video-13b-distilled/extend,LTX-Video (legacy),LTX,video-to-video,0.48,$0.04 per 5.042s video -> x60,1441,0.4–60.0 s (via num_frames),"480p, 720p","9:16, 1:1, 16:9, auto",No,No,No,No — single shot,extend,No,Extremely fast and cheap; fully open weights; good for previews and iteration.,"Visibly dated quality — soft textures, weak coherence past ~3s, no audio.",Instant previews and animatic drafts; prompt testing before spending on a frontier model.,Anything a client will see.
fal-ai/ltx-video-13b-distilled/image-to-video,LTX-Video (legacy),LTX,image-to-video,2.4,$0.04/s x 60s,1441,0.4–60.0 s (via num_frames),"480p, 720p","9:16, 1:1, 16:9, auto",No,Yes,No,No — single shot,generate,No,Extremely fast and cheap; fully open weights; good for previews and iteration.,"Visibly dated quality — soft textures, weak coherence past ~3s, no audio.",Instant previews and animatic drafts; prompt testing before spending on a frontier model.,Anything a client will see.
fal-ai/ltx-video-13b-distilled/multiconditioning,LTX-Video (legacy),LTX,video-to-video,0.48,$0.04 per 5.042s video -> x60,1441,0.4–60.0 s (via num_frames),"480p, 720p","9:16, 1:1, 16:9, auto",No,No,No,No — single shot,edit/restyle,No,Extremely fast and cheap; fully open weights; good for previews and iteration.,"Visibly dated quality — soft textures, weak coherence past ~3s, no audio.",Instant previews and animatic drafts; prompt testing before spending on a frontier model.,Anything a client will see.
fal-ai/ltx-video-v095,LTX-Video (legacy),LTX,text-to-video,0.48,$0.04 per 5s video -> x60,121,~5 s (121 frames @24fps),"480p, 720p","9:16, 16:9",No,No (text-only),No,No — single shot,generate,No,Extremely fast and cheap; fully open weights; good for previews and iteration.,"Visibly dated quality — soft textures, weak coherence past ~3s, no audio.",Instant previews and animatic drafts; prompt testing before spending on a frontier model.,Anything a client will see.
fal-ai/ltx-video-v095/extend,LTX-Video (legacy),LTX,video-to-video,0.48,$0.04 per 5s video -> x60,,fixed / not exposed,"480p, 720p","9:16, 16:9",No,No,No,No — single shot,extend,No,Extremely fast and cheap; fully open weights; good for previews and iteration.,"Visibly dated quality — soft textures, weak coherence past ~3s, no audio.",Instant previews and animatic drafts; prompt testing before spending on a frontier model.,Anything a client will see.
fal-ai/ltx-video-v095/multiconditioning,LTX-Video (legacy),LTX,video-to-video,0.48,$0.04 per 5s video -> x60,,fixed / not exposed,"480p, 720p","9:16, 16:9",No,No,No,No — single shot,edit/restyle,No,Extremely fast and cheap; fully open weights; good for previews and iteration.,"Visibly dated quality — soft textures, weak coherence past ~3s, no audio.",Instant previews and animatic drafts; prompt testing before spending on a frontier model.,Anything a client will see.
fal-ai/ltx-video/image-to-video,LTX-Video (legacy),LTX,image-to-video,0.24,$0.02 per 5s video -> x60,121,~5 s (121 frames @24fps),fixed,inherits input image,No,Yes,No,No — single shot,generate,No,Extremely fast and cheap; fully open weights; good for previews and iteration.,"Visibly dated quality — soft textures, weak coherence past ~3s, no audio.",Instant previews and animatic drafts; prompt testing before spending on a frontier model.,Anything a client will see.
fal-ai/ltxv-13b-098-distilled,LTX-Video (legacy),LTX,text-to-video,1.2,$0.02/s x 60s,1441,0.4–60.0 s (via num_frames),"480p, 720p","9:16, 1:1, 16:9",No,No (text-only),No,No — single shot,generate,No,Extremely fast and cheap; fully open weights; good for previews and iteration.,"Visibly dated quality — soft textures, weak coherence past ~3s, no audio.",Instant previews and animatic drafts; prompt testing before spending on a frontier model.,Anything a client will see.
fal-ai/ltxv-13b-098-distilled/extend,LTX-Video (legacy),LTX,video-to-video,1.2,$0.02/s x 60s,1441,0.4–60.0 s (via num_frames),"480p, 720p","9:16, 1:1, 16:9, auto",No,No,No,No — single shot,extend,No,Extremely fast and cheap; fully open weights; good for previews and iteration.,"Visibly dated quality — soft textures, weak coherence past ~3s, no audio.",Instant previews and animatic drafts; prompt testing before spending on a frontier model.,Anything a client will see.
fal-ai/ltxv-13b-098-distilled/image-to-video,LTX-Video (legacy),LTX,image-to-video,1.2,$0.02/s x 60s,1441,0.4–60.0 s (via num_frames),"480p, 720p","9:16, 1:1, 16:9, auto",No,Yes,No,No — single shot,generate,No,Extremely fast and cheap; fully open weights; good for previews and iteration.,"Visibly dated quality — soft textures, weak coherence past ~3s, no audio.",Instant previews and animatic drafts; prompt testing before spending on a frontier model.,Anything a client will see.
fal-ai/ltxv-13b-098-distilled/multiconditioning,LTX-Video (legacy),LTX,video-to-video,1.2,$0.02/s x 60s,1441,0.4–60.0 s (via num_frames),"480p, 720p","9:16, 1:1, 16:9, auto",No,No,No,No — single shot,edit/restyle,No,Extremely fast and cheap; fully open weights; good for previews and iteration.,"Visibly dated quality — soft textures, weak coherence past ~3s, no audio.",Instant previews and animatic drafts; prompt testing before spending on a frontier model.,Anything a client will see.
fal-ai/lightx/recamera,LightX,,video-to-video,6.0,$0.1/s x 60s,,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,edit/restyle,No,Relight and re-camera existing footage — change lighting direction or virtual camera move after the fact.,Expensive at $6/min; heavy edits can flatten materials.,"Fixing lighting continuity across shots, adding camera movement to locked-off footage.","Full scene generation, budget work."
fal-ai/lightx/relight,LightX,,video-to-video,6.0,$0.1/s x 60s,,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,edit/restyle,No,Relight and re-camera existing footage — change lighting direction or virtual camera move after the fact.,Expensive at $6/min; heavy edits can flatten materials.,"Fixing lighting continuity across shots, adding camera movement to locked-off footage.","Full scene generation, budget work."
fal-ai/longcat-video/distilled/image-to-video/480p,LongCat,,image-to-video,0.3,$0.005/s x 60s,961,1.1–64.1 s (via num_frames),"low, medium, high, maximum",inherits input image,No,Yes,No,No — single shot,generate,No,"Natively pretrained on video continuation — sustains minutes-long 720p/30fps output without color drift or degradation, a first-class long-video design no other open model has. Distilled tier costs pennies.",Motion quality trails frontier models; no audio; separate endpoints per resolution.,"Minutes-long continuous takes via native continuation — walkthroughs, ambient scenes, lo-fi loops; the cheapest long-form 720p anywhere.","Motion-quality-led briefs, sound, frontier fidelity."
fal-ai/longcat-video/distilled/image-to-video/720p,LongCat,,image-to-video,0.6,$0.01/s x 60s,961,0.6–32.0 s (via num_frames),"low, medium, high, maximum",inherits input image,No,Yes,No,No — single shot,generate,No,"Natively pretrained on video continuation — sustains minutes-long 720p/30fps output without color drift or degradation, a first-class long-video design no other open model has. Distilled tier costs pennies.",Motion quality trails frontier models; no audio; separate endpoints per resolution.,"Minutes-long continuous takes via native continuation — walkthroughs, ambient scenes, lo-fi loops; the cheapest long-form 720p anywhere.","Motion-quality-led briefs, sound, frontier fidelity."
fal-ai/longcat-video/distilled/text-to-video/480p,LongCat,,text-to-video,0.3,$0.005/s x 60s,961,1.1–64.1 s (via num_frames),"low, medium, high, maximum","16:9, 9:16, 1:1",No,No (text-only),No,No — single shot,generate,No,"Natively pretrained on video continuation — sustains minutes-long 720p/30fps output without color drift or degradation, a first-class long-video design no other open model has. Distilled tier costs pennies.",Motion quality trails frontier models; no audio; separate endpoints per resolution.,"Minutes-long continuous takes via native continuation — walkthroughs, ambient scenes, lo-fi loops; the cheapest long-form 720p anywhere.","Motion-quality-led briefs, sound, frontier fidelity."
fal-ai/longcat-video/distilled/text-to-video/720p,LongCat,,text-to-video,0.6,$0.01/s x 60s,961,0.6–32.0 s (via num_frames),"low, medium, high, maximum","16:9, 9:16, 1:1",No,No (text-only),No,No — single shot,generate,No,"Natively pretrained on video continuation — sustains minutes-long 720p/30fps output without color drift or degradation, a first-class long-video design no other open model has. Distilled tier costs pennies.",Motion quality trails frontier models; no audio; separate endpoints per resolution.,"Minutes-long continuous takes via native continuation — walkthroughs, ambient scenes, lo-fi loops; the cheapest long-form 720p anywhere.","Motion-quality-led briefs, sound, frontier fidelity."
fal-ai/longcat-video/image-to-video/480p,LongCat,,image-to-video,1.5,$0.025/s x 60s,961,1.1–64.1 s (via num_frames),"low, medium, high, maximum",inherits input image,No,Yes,No,No — single shot,generate,No,"Natively pretrained on video continuation — sustains minutes-long 720p/30fps output without color drift or degradation, a first-class long-video design no other open model has. Distilled tier costs pennies.",Motion quality trails frontier models; no audio; separate endpoints per resolution.,"Minutes-long continuous takes via native continuation — walkthroughs, ambient scenes, lo-fi loops; the cheapest long-form 720p anywhere.","Motion-quality-led briefs, sound, frontier fidelity."
fal-ai/longcat-video/image-to-video/720p,LongCat,,image-to-video,2.4,$0.04/s x 60s,961,0.6–32.0 s (via num_frames),"low, medium, high, maximum",inherits input image,No,Yes,No,No — single shot,generate,No,"Natively pretrained on video continuation — sustains minutes-long 720p/30fps output without color drift or degradation, a first-class long-video design no other open model has. Distilled tier costs pennies.",Motion quality trails frontier models; no audio; separate endpoints per resolution.,"Minutes-long continuous takes via native continuation — walkthroughs, ambient scenes, lo-fi loops; the cheapest long-form 720p anywhere.","Motion-quality-led briefs, sound, frontier fidelity."
fal-ai/longcat-video/text-to-video/480p,LongCat,,text-to-video,1.5,$0.025/s x 60s,961,1.1–64.1 s (via num_frames),"low, medium, high, maximum","16:9, 9:16, 1:1",No,No (text-only),No,No — single shot,generate,No,"Natively pretrained on video continuation — sustains minutes-long 720p/30fps output without color drift or degradation, a first-class long-video design no other open model has. Distilled tier costs pennies.",Motion quality trails frontier models; no audio; separate endpoints per resolution.,"Minutes-long continuous takes via native continuation — walkthroughs, ambient scenes, lo-fi loops; the cheapest long-form 720p anywhere.","Motion-quality-led briefs, sound, frontier fidelity."
fal-ai/longcat-video/text-to-video/720p,LongCat,,text-to-video,2.4,$0.04/s x 60s,961,0.6–32.0 s (via num_frames),"low, medium, high, maximum","16:9, 9:16, 1:1",No,No (text-only),No,No — single shot,generate,No,"Natively pretrained on video continuation — sustains minutes-long 720p/30fps output without color drift or degradation, a first-class long-video design no other open model has. Distilled tier costs pennies.",Motion quality trails frontier models; no audio; separate endpoints per resolution.,"Minutes-long continuous takes via native continuation — walkthroughs, ambient scenes, lo-fi loops; the cheapest long-form 720p anywhere.","Motion-quality-led briefs, sound, frontier fidelity."
fal-ai/luma-dream-machine/ray-2,Luma Ray 2,Luma AI,text-to-video,6.0,$0.5 per 5s -> x60,216,"5s, 9s","540p, 720p, 1080p","16:9, 9:16, 4:3, 3:4, 21:9, 9:21",No,No (text-only),No,No — single shot,generate,No,"Genuinely natural, coherent camera motion — still one of the most 'filmed' looking models. Flash tier is cheap.","No audio, fixed 5s, and detail resolution trails newer models.","Natural-motion b-roll, physics-plausible product demos, film previz.","Detail-critical close-ups, sound, fast turnaround."
fal-ai/luma-dream-machine/ray-2-flash,Luma Ray 2,Luma AI,text-to-video,2.4,$0.2 per 5s -> x60,216,"5s, 9s","540p, 720p, 1080p","16:9, 9:16, 4:3, 3:4, 21:9, 9:21",No,No (text-only),No,No — single shot,generate,No,"Genuinely natural, coherent camera motion — still one of the most 'filmed' looking models. Flash tier is cheap.","No audio, fixed 5s, and detail resolution trails newer models.","Natural-motion b-roll, physics-plausible product demos, film previz.","Detail-critical close-ups, sound, fast turnaround."
fal-ai/luma-dream-machine/ray-2-flash/image-to-video,Luma Ray 2,Luma AI,image-to-video,2.4,$0.2 per 5s -> x60,216,"5s, 9s","540p, 720p, 1080p","16:9, 9:16, 4:3, 3:4, 21:9, 9:21",No,Yes,Yes,No — single shot,generate,No,"Genuinely natural, coherent camera motion — still one of the most 'filmed' looking models. Flash tier is cheap.","No audio, fixed 5s, and detail resolution trails newer models.","Natural-motion b-roll, physics-plausible product demos, film previz.","Detail-critical close-ups, sound, fast turnaround."
fal-ai/luma-dream-machine/ray-2-flash/modify,Luma Ray 2,Luma AI,video-to-video,7.2,$0.12/s x 60s,,fixed / not exposed,fixed,fixed,No,Yes,No,No — single shot,edit/restyle,No,"Genuinely natural, coherent camera motion — still one of the most 'filmed' looking models. Flash tier is cheap.","No audio, fixed 5s, and detail resolution trails newer models.","Natural-motion b-roll, physics-plausible product demos, film previz.","Detail-critical close-ups, sound, fast turnaround."
fal-ai/luma-dream-machine/ray-2-flash/reframe,Luma Ray 2,Luma AI,video-to-video,3.6,$0.06/s x 60s,,fixed / not exposed,fixed,"1:1, 16:9, 9:16, 4:3, 3:4, 21:9, 9:21",No,Yes,No,No — single shot,upscale/restore,No,"Genuinely natural, coherent camera motion — still one of the most 'filmed' looking models. Flash tier is cheap.","No audio, fixed 5s, and detail resolution trails newer models.","Natural-motion b-roll, physics-plausible product demos, film previz.","Detail-critical close-ups, sound, fast turnaround."
fal-ai/luma-dream-machine/ray-2/image-to-video,Luma Ray 2,Luma AI,image-to-video,6.0,$0.5 per 5s -> x60,216,"5s, 9s","540p, 720p, 1080p","16:9, 9:16, 4:3, 3:4, 21:9, 9:21",No,Yes,Yes,No — single shot,generate,No,"Genuinely natural, coherent camera motion — still one of the most 'filmed' looking models. Flash tier is cheap.","No audio, fixed 5s, and detail resolution trails newer models.","Natural-motion b-roll, physics-plausible product demos, film previz.","Detail-critical close-ups, sound, fast turnaround."
fal-ai/luma-dream-machine/ray-2/modify,Luma Ray 2,Luma AI,video-to-video,21.0,$0.35/s x 60s,,fixed / not exposed,fixed,fixed,No,Yes,No,No — single shot,edit/restyle,No,"Genuinely natural, coherent camera motion — still one of the most 'filmed' looking models. Flash tier is cheap.","No audio, fixed 5s, and detail resolution trails newer models.","Natural-motion b-roll, physics-plausible product demos, film previz.","Detail-critical close-ups, sound, fast turnaround."
fal-ai/luma-dream-machine/ray-2/reframe,Luma Ray 2,Luma AI,video-to-video,12.0,$0.2/s x 60s,,fixed / not exposed,fixed,"1:1, 16:9, 9:16, 4:3, 3:4, 21:9, 9:21",No,Yes,No,No — single shot,upscale/restore,No,"Genuinely natural, coherent camera motion — still one of the most 'filmed' looking models. Flash tier is cheap.","No audio, fixed 5s, and detail resolution trails newer models.","Natural-motion b-roll, physics-plausible product demos, film previz.","Detail-critical close-ups, sound, fast turnaround."
luma/agent/ray/v3.2/image-to-video,Luma Ray 3.2,Luma AI,image-to-video,3.6,$0.3 per 5s @720p -> x60,240,"5s, 10s","540p, 720p, 1080p","3:4, 4:3, 1:1, 9:16, 16:9, 21:9",No,Yes,Yes,Partial — keyframe/element chaining,generate,Yes — dialogue via prompt (native audio),Cinematic look with seamless looping control and reference images to lock subject/style — the loop feature is nearly unique.,Premium pricing; smaller ecosystem; no native audio.,"Seamless product loops, HDR-graded cinematic shots for directors who think in shot lists, style/subject-locked reference work.","Budget iteration, dialogue-led content (no audio)."
luma/agent/ray/v3.2/reframe,Luma Ray 3.2,Luma AI,video-to-video,14.4,$1.2 per 5s 720p video -> x60,,fixed / not exposed,"540p, 720p, 1080p","3:4, 4:3, 1:1, 9:16, 16:9, 21:9",No,No,No,No — single shot,inpaint/erase,Yes — dialogue via prompt (native audio),Cinematic look with seamless looping control and reference images to lock subject/style — the loop feature is nearly unique.,Premium pricing; smaller ecosystem; no native audio.,"Seamless product loops, HDR-graded cinematic shots for directors who think in shot lists, style/subject-locked reference work.","Budget iteration, dialogue-led content (no audio)."
luma/agent/ray/v3.2/text-to-video,Luma Ray 3.2,Luma AI,text-to-video,12.0,$1.0 per 5s @720p -> x60,240,"5s, 10s","540p, 720p, 1080p","3:4, 4:3, 1:1, 9:16, 16:9, 21:9",No,No (text-only),No,No — single shot,generate,Yes — dialogue via prompt (native audio),Cinematic look with seamless looping control and reference images to lock subject/style — the loop feature is nearly unique.,Premium pricing; smaller ecosystem; no native audio.,"Seamless product loops, HDR-graded cinematic shots for directors who think in shot lists, style/subject-locked reference work.","Budget iteration, dialogue-led content (no audio)."
luma/agent/ray/v3.2/video-to-video,Luma Ray 3.2,Luma AI,video-to-video,12.96,$1.08 per 5s @720p -> x60,240,"5s, 10s","540p, 720p, 1080p",fixed,No,Yes,Yes (via keyframes),Partial — keyframe/element chaining,edit/restyle,Yes — dialogue via prompt (native audio),Cinematic look with seamless looping control and reference images to lock subject/style — the loop feature is nearly unique.,Premium pricing; smaller ecosystem; no native audio.,"Seamless product loops, HDR-graded cinematic shots for directors who think in shot lists, style/subject-locked reference work.","Budget iteration, dialogue-led content (no audio)."
