Endpoint,Family,Lab,Type,USD/image @1MP,Price basis,Max MP,Size options,Aspect ratios,Image input?,Mask/inpaint?,LoRA?,Style/ref?,Batch max,Strongest side,Weakest side,Strongest use-cases,Weakest use-cases
fal-ai/ideogram/v3,Ideogram,Ideogram,t2i,0.06,$0.06 BALANCED mode (TURBO $0.03),1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,No,Yes,8,"Best-in-class text rendering and layout control (v4 adds JSON prompting, bounding boxes, palettes); open weights at the frontier of design.",Photorealism and prompt reasoning trail closed leaders; busy scenes can look graphic-design-flat.,"Posters, packaging, ads, thumbnails, logos, any image where words must be readable.","Cinematic photorealism, subtle photographic editing."
fal-ai/ideogram/v3/edit,Ideogram,Ideogram,i2i,0.06,$0.06 BALANCED mode (TURBO $0.03),,fixed,fixed,Yes,Yes,No,No,8,"Best-in-class text rendering and layout control (v4 adds JSON prompting, bounding boxes, palettes); open weights at the frontier of design.",Photorealism and prompt reasoning trail closed leaders; busy scenes can look graphic-design-flat.,"Posters, packaging, ads, thumbnails, logos, any image where words must be readable.","Cinematic photorealism, subtle photographic editing."
fal-ai/ideogram/v3/generate-transparent,Ideogram,Ideogram,t2i,0.06,$0.06 BALANCED mode (TURBO $0.03),,fixed,"1:3, 3:1, 1:2, 2:1, 9:16, 16:9, 10:16, 16:10, 2:3, 3:2, 3:4, 4:3, 4:5, 5:4, 1:1",No,No,No,No,8,"Best-in-class text rendering and layout control (v4 adds JSON prompting, bounding boxes, palettes); open weights at the frontier of design.",Photorealism and prompt reasoning trail closed leaders; busy scenes can look graphic-design-flat.,"Posters, packaging, ads, thumbnails, logos, any image where words must be readable.","Cinematic photorealism, subtle photographic editing."
fal-ai/ideogram/v3/layerize-text,Ideogram,Ideogram,i2i,0.09,$0.09 per image,,fixed,fixed,Yes,No,No,No,1,"Best-in-class text rendering and layout control (v4 adds JSON prompting, bounding boxes, palettes); open weights at the frontier of design.",Photorealism and prompt reasoning trail closed leaders; busy scenes can look graphic-design-flat.,"Posters, packaging, ads, thumbnails, logos, any image where words must be readable.","Cinematic photorealism, subtle photographic editing."
fal-ai/ideogram/v3/reframe,Ideogram,Ideogram,i2i,0.06,$0.06 BALANCED mode (TURBO $0.03),1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,No,Yes,8,"Best-in-class text rendering and layout control (v4 adds JSON prompting, bounding boxes, palettes); open weights at the frontier of design.",Photorealism and prompt reasoning trail closed leaders; busy scenes can look graphic-design-flat.,"Posters, packaging, ads, thumbnails, logos, any image where words must be readable.","Cinematic photorealism, subtle photographic editing."
fal-ai/ideogram/v3/remix,Ideogram,Ideogram,i2i,0.06,$0.06 BALANCED mode (TURBO $0.03),1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,No,Yes,8,"Best-in-class text rendering and layout control (v4 adds JSON prompting, bounding boxes, palettes); open weights at the frontier of design.",Photorealism and prompt reasoning trail closed leaders; busy scenes can look graphic-design-flat.,"Posters, packaging, ads, thumbnails, logos, any image where words must be readable.","Cinematic photorealism, subtle photographic editing."
fal-ai/ideogram/v3/replace-background,Ideogram,Ideogram,i2i,0.06,$0.06 BALANCED mode (TURBO $0.03),,fixed,fixed,Yes,No,No,Yes,8,"Best-in-class text rendering and layout control (v4 adds JSON prompting, bounding boxes, palettes); open weights at the frontier of design.",Photorealism and prompt reasoning trail closed leaders; busy scenes can look graphic-design-flat.,"Posters, packaging, ads, thumbnails, logos, any image where words must be readable.","Cinematic photorealism, subtle photographic editing."
ideogram/v4,Ideogram,Ideogram,t2i,0.015,$0.015/MP (BALANCED) x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,4,"Best-in-class text rendering and layout control (v4 adds JSON prompting, bounding boxes, palettes); open weights at the frontier of design.",Photorealism and prompt reasoning trail closed leaders; busy scenes can look graphic-design-flat.,"Posters, packaging, ads, thumbnails, logos, any image where words must be readable.","Cinematic photorealism, subtle photographic editing."
ideogram/v4/fast,Ideogram,Ideogram,t2i,0.0105,$0.0105/MP (BALANCED) x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,4,"Best-in-class text rendering and layout control (v4 adds JSON prompting, bounding boxes, palettes); open weights at the frontier of design.",Photorealism and prompt reasoning trail closed leaders; busy scenes can look graphic-design-flat.,"Posters, packaging, ads, thumbnails, logos, any image where words must be readable.","Cinematic photorealism, subtle photographic editing."
ideogram/v4/image-to-image,Ideogram,Ideogram,i2i,0.015,$0.015/MP (BALANCED) x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9, auto",via image_size,Yes,No,No,No,4,"Best-in-class text rendering and layout control (v4 adds JSON prompting, bounding boxes, palettes); open weights at the frontier of design.",Photorealism and prompt reasoning trail closed leaders; busy scenes can look graphic-design-flat.,"Posters, packaging, ads, thumbnails, logos, any image where words must be readable.","Cinematic photorealism, subtle photographic editing."
ideogram/v4/image-to-image/lora,Ideogram,Ideogram,i2i,0.0225,$0.0225/MP (BALANCED) x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9, auto",via image_size,Yes,No,Yes,No,4,"Best-in-class text rendering and layout control (v4 adds JSON prompting, bounding boxes, palettes); open weights at the frontier of design.",Photorealism and prompt reasoning trail closed leaders; busy scenes can look graphic-design-flat.,"Posters, packaging, ads, thumbnails, logos, any image where words must be readable.","Cinematic photorealism, subtle photographic editing."
ideogram/v4/instant,Ideogram,Ideogram,t2i,0.0075,$0.0075/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,4,"Best-in-class text rendering and layout control (v4 adds JSON prompting, bounding boxes, palettes); open weights at the frontier of design.",Photorealism and prompt reasoning trail closed leaders; busy scenes can look graphic-design-flat.,"Posters, packaging, ads, thumbnails, logos, any image where words must be readable.","Cinematic photorealism, subtle photographic editing."
ideogram/v4/lora,Ideogram,Ideogram,t2i,0.0225,$0.0225/MP (BALANCED) x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,Yes,No,4,"Best-in-class text rendering and layout control (v4 adds JSON prompting, bounding boxes, palettes); open weights at the frontier of design.",Photorealism and prompt reasoning trail closed leaders; busy scenes can look graphic-design-flat.,"Posters, packaging, ads, thumbnails, logos, any image where words must be readable.","Cinematic photorealism, subtle photographic editing."
ideogram/v4/tiling,Ideogram,Ideogram,i2i,0.06,$0.06/MP (BALANCED) x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,Yes,No,No,4,"Best-in-class text rendering and layout control (v4 adds JSON prompting, bounding boxes, palettes); open weights at the frontier of design.",Photorealism and prompt reasoning trail closed leaders; busy scenes can look graphic-design-flat.,"Posters, packaging, ads, thumbnails, logos, any image where words must be readable.","Cinematic photorealism, subtle photographic editing."
ideogram/v4/tiling/lora,Ideogram,Ideogram,i2i,0.0675,$0.0675/MP (BALANCED) x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,Yes,Yes,No,4,"Best-in-class text rendering and layout control (v4 adds JSON prompting, bounding boxes, palettes); open weights at the frontier of design.",Photorealism and prompt reasoning trail closed leaders; busy scenes can look graphic-design-flat.,"Posters, packaging, ads, thumbnails, logos, any image where words must be readable.","Cinematic photorealism, subtle photographic editing."
fal-ai/ben/v2/image,Image utilities,,i2i,0.025,$0.025/MP x 1MP,,fixed,fixed,Yes,No,No,No,1,"Deterministic helpers (resize, SVG-trace, watermark, interpolation).",Not generative.,Pipeline glue.,Creation.
fal-ai/ffmpeg-api/extract-frame,Image utilities,,i2i,0.0002,$0.0002 (parsed loosely),,fixed,fixed,No,No,No,No,1,"Deterministic helpers (resize, SVG-trace, watermark, interpolation).",Not generative.,Pipeline glue.,Creation.
fal-ai/film,Image utilities,,i2i,,billed per GPU compute-second,,fixed,fixed,No,No,No,No,1,"Deterministic helpers (resize, SVG-trace, watermark, interpolation).",Not generative.,Pipeline glue.,Creation.
fal-ai/image2svg,Image utilities,,i2i,0.005,$0.005 per image,,fixed,fixed,Yes,No,No,No,1,"Deterministic helpers (resize, SVG-trace, watermark, interpolation).",Not generative.,Pipeline glue.,Creation.
fal-ai/imageutils/depth,Image utilities,,i2i,,billed per GPU compute-second,,fixed,fixed,Yes,No,No,No,1,"Deterministic helpers (resize, SVG-trace, watermark, interpolation).",Not generative.,Pipeline glue.,Creation.
fal-ai/imageutils/marigold-depth,Image utilities,,i2i,,billed per GPU compute-second,,fixed,fixed,Yes,No,No,No,1,"Deterministic helpers (resize, SVG-trace, watermark, interpolation).",Not generative.,Pipeline glue.,Creation.
fal-ai/invisible-watermark,Image utilities,,i2i,,,,fixed,fixed,No,No,No,No,1,"Deterministic helpers (resize, SVG-trace, watermark, interpolation).",Not generative.,Pipeline glue.,Creation.
fal-ai/rife,Image utilities,,i2i,,billed per GPU compute-second,,fixed,fixed,No,No,No,No,1,"Deterministic helpers (resize, SVG-trace, watermark, interpolation).",Not generative.,Pipeline glue.,Creation.
fal-ai/smart-resize,Image utilities,,i2i,0.15,$0.15 (parsed loosely),16.8,"1K, 2K, 4K",fixed,Yes,No,No,No,1,"Deterministic helpers (resize, SVG-trace, watermark, interpolation).",Not generative.,Pipeline glue.,Creation.
fal-ai/vecglypher,Image utilities,,t2i,0.005,$0.005 per image,,fixed,fixed,No,No,No,No,1,"Deterministic helpers (resize, SVG-trace, watermark, interpolation).",Not generative.,Pipeline glue.,Creation.
fal-ai/vecglypher/image-to-svg,Image utilities,,i2i,0.005,$0.005 per image,,fixed,fixed,No,No,No,Yes,1,"Deterministic helpers (resize, SVG-trace, watermark, interpolation).",Not generative.,Pipeline glue.,Creation.
fal-ai/workflow-utilities/extract-nth-frame,Image utilities,,i2i,,billed per GPU compute-second,,fixed,fixed,No,No,No,No,1,"Deterministic helpers (resize, SVG-trace, watermark, interpolation).",Not generative.,Pipeline glue.,Creation.
imagineart/imagineart-1.5-preview/text-to-image,ImagineArt,ImagineArt,t2i,0.03,$0.03 per image,,fixed,"1:1, 3:1, 1:3, 16:9, 9:16, 4:3, 3:4, 3:2, 2:3",No,No,No,No,1,Aggregator-tuned generation tiers focused on consumer aesthetics.,Derivative capability; opaque versioning.,Consumer-app style output.,Precise control work.
imagineart/imagineart-1.5-pro-preview/text-to-image,ImagineArt,ImagineArt,t2i,0.045,$0.045 per image,16.8,fixed,"1:1, 3:1, 1:3, 16:9, 9:16, 4:3, 3:4, 3:2, 2:3",No,No,No,No,1,Aggregator-tuned generation tiers focused on consumer aesthetics.,Derivative capability; opaque versioning.,Consumer-app style output.,Precise control work.
imagineart/imagineart-2.0-edit-preview/image-to-image,ImagineArt,,i2i,0.05,$0.05 (parsed loosely),,fixed,"auto, 1:1, 9:16, 16:9, 3:2, 2:3, 4:3, 3:4, 4:5, 5:4, 3:1, 1:3, 21:9",Yes,No,No,No,1,Aggregator-tuned generation tiers focused on consumer aesthetics.,Derivative capability; opaque versioning.,Consumer-app style output.,Precise control work.
imagineart/imagineart-2.0-preview/text-to-image,ImagineArt,ImagineArt,t2i,0.05,$0.05 per image,4.2,"1K, 2K","1:1, 16:9, 9:16, 4:3, 3:4, 3:1, 1:3, 3:2, 2:3, 21:9, 4:5, 5:4, 4:1, 1:4",No,No,No,No,1,Aggregator-tuned generation tiers focused on consumer aesthetics.,Derivative capability; opaque versioning.,Consumer-app style output.,Precise control work.
fal-ai/janus,Janus,,t2i,,billed per GPU compute-second,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,16,DeepSeek's unified understanding+generation research model.,"Small, dated.",Research.,Production.
rundiffusion-fal/juggernaut-flux-lora,Juggernaut FLUX,Rundiffusion,t2i,0.045,$0.045/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,Yes,No,4,"RunDiffusion's photoreal FLUX finetune — skin, lighting and lens realism above base.",Less flexible on stylized looks.,Photoreal portraits and lifestyle imagery.,"Illustration, typography."
rundiffusion-fal/juggernaut-flux-lora/inpainting,Juggernaut FLUX,Rundiffusion,i2i,0.045,$0.045/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,Yes,Yes,No,4,"RunDiffusion's photoreal FLUX finetune — skin, lighting and lens realism above base.",Less flexible on stylized looks.,Photoreal portraits and lifestyle imagery.,"Illustration, typography."
rundiffusion-fal/juggernaut-flux/base,Juggernaut FLUX,Rundiffusion,t2i,0.035,$0.035/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,4,"RunDiffusion's photoreal FLUX finetune — skin, lighting and lens realism above base.",Less flexible on stylized looks.,Photoreal portraits and lifestyle imagery.,"Illustration, typography."
rundiffusion-fal/juggernaut-flux/base/image-to-image,Juggernaut FLUX,Rundiffusion,i2i,0.035,$0.035/MP x 1MP,,fixed,fixed,Yes,No,No,No,4,"RunDiffusion's photoreal FLUX finetune — skin, lighting and lens realism above base.",Less flexible on stylized looks.,Photoreal portraits and lifestyle imagery.,"Illustration, typography."
rundiffusion-fal/juggernaut-flux/lightning,Juggernaut FLUX,Rundiffusion,t2i,0.006,$0.006/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,4,"RunDiffusion's photoreal FLUX finetune — skin, lighting and lens realism above base.",Less flexible on stylized looks.,Photoreal portraits and lifestyle imagery.,"Illustration, typography."
rundiffusion-fal/juggernaut-flux/pro,Juggernaut FLUX,Rundiffusion,t2i,0.055,$0.055/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,4,"RunDiffusion's photoreal FLUX finetune — skin, lighting and lens realism above base.",Less flexible on stylized looks.,Photoreal portraits and lifestyle imagery.,"Illustration, typography."
rundiffusion-fal/juggernaut-flux/pro/image-to-image,Juggernaut FLUX,Rundiffusion,i2i,0.055,$0.055/MP x 1MP,,fixed,fixed,Yes,No,No,No,4,"RunDiffusion's photoreal FLUX finetune — skin, lighting and lens realism above base.",Less flexible on stylized looks.,Photoreal portraits and lifestyle imagery.,"Illustration, typography."
rundiffusion-fal/rundiffusion-photo-flux,Juggernaut FLUX,Rundiffusion,t2i,0.045,$0.045/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,Yes,No,4,"RunDiffusion's photoreal FLUX finetune — skin, lighting and lens realism above base.",Less flexible on stylized looks.,Photoreal portraits and lifestyle imagery.,"Illustration, typography."
fal-ai/kling-image/o1,Kling Image,Kling,i2i,0.028,$0.028 per image,4.2,"1K, 2K","auto, 16:9, 9:16, 1:1, 4:3, 3:4, 3:2, 2:3, 21:9",Yes,No,No,No,9,Kling's image line incl. Kolors virtual try-on.,Image side is a sideshow to their video models.,"Try-on demos, Kling-ecosystem stills.",General generation.
fal-ai/kling-image/o3/image-to-image,Kling Image,Kling,i2i,0.028,$0.028 per image,16.8,"1K, 2K, 4K","16:9, 9:16, 1:1, 4:3, 3:4, 3:2, 2:3, 21:9, auto",Yes,No,No,No,9,Kling's image line incl. Kolors virtual try-on.,Image side is a sideshow to their video models.,"Try-on demos, Kling-ecosystem stills.",General generation.
fal-ai/kling-image/o3/text-to-image,Kling Image,Kling,t2i,0.028,$0.028 per image,16.8,"1K, 2K, 4K","16:9, 9:16, 1:1, 4:3, 3:4, 3:2, 2:3, 21:9",No,No,No,No,9,Kling's image line incl. Kolors virtual try-on.,Image side is a sideshow to their video models.,"Try-on demos, Kling-ecosystem stills.",General generation.
fal-ai/kling-image/v3/image-to-image,Kling Image,Kling,i2i,0.028,$0.028 per image,4.2,"1K, 2K","16:9, 9:16, 1:1, 4:3, 3:4, 3:2, 2:3, 21:9",Yes,No,No,No,9,Kling's image line incl. Kolors virtual try-on.,Image side is a sideshow to their video models.,"Try-on demos, Kling-ecosystem stills.",General generation.
fal-ai/kling-image/v3/text-to-image,Kling Image,Kling,t2i,0.028,$0.028 per image,4.2,"1K, 2K","16:9, 9:16, 1:1, 4:3, 3:4, 3:2, 2:3, 21:9",No,No,No,No,9,Kling's image line incl. Kolors virtual try-on.,Image side is a sideshow to their video models.,"Try-on demos, Kling-ecosystem stills.",General generation.
fal-ai/kling/v1-5/kolors-virtual-try-on,Kling Image,Kling,i2i,0.07,$0.07 per generation,,fixed,fixed,No,No,No,No,1,Kling's image line incl. Kolors virtual try-on.,Image side is a sideshow to their video models.,"Try-on demos, Kling-ecosystem stills.",General generation.
fal-ai/kolors,Kolors,,t2i,,billed per GPU compute-second,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,8,"Kwai's photoreal SDXL-class model, strong on faces.",Dated vs 2026 frontier.,Photoreal portraits on a budget.,"Text, complex scenes."
fal-ai/kolors/image-to-image,Kolors,,i2i,,billed per GPU compute-second,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,No,No,8,"Kwai's photoreal SDXL-class model, strong on faces.",Dated vs 2026 frontier.,Photoreal portraits on a budget.,"Text, complex scenes."
fal-ai/krea-2/turbo,Krea,Krea,t2i,0.008,$0.008/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,4,Krea's realtime/enhance stack — fast iterative generation.,Quality tier below frontier.,"Live ideation, enhancement passes.",Final masters.
fal-ai/krea-2/turbo/lora,Krea,Krea,t2i,0.01,$0.01/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,Yes,No,4,Krea's realtime/enhance stack — fast iterative generation.,Quality tier below frontier.,"Live ideation, enhancement passes.",Final masters.
fal-ai/krea-2/turbo/style,Krea,Krea,t2i,0.01,$0.01/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,Yes,4,Krea's realtime/enhance stack — fast iterative generation.,Quality tier below frontier.,"Live ideation, enhancement passes.",Final masters.
krea/v2/large/text-to-image,Krea,Krea,t2i,0.06,$0.060 t2i base,,fixed,"1:1, 4:3, 3:2, 16:9, 2.35:1, 4:5, 2:3, 9:16",No,No,No,No,1,Krea's realtime/enhance stack — fast iterative generation.,Quality tier below frontier.,"Live ideation, enhancement passes.",Final masters.
krea/v2/medium/text-to-image,Krea,Krea,t2i,0.03,$0.030 t2i base,,fixed,"1:1, 4:3, 3:2, 16:9, 2.35:1, 4:5, 2:3, 9:16",No,No,No,No,1,Krea's realtime/enhance stack — fast iterative generation.,Quality tier below frontier.,"Live ideation, enhancement passes.",Final masters.
krea/v2/medium/turbo/text-to-image,Krea,Krea,t2i,0.015,$0.015 t2i base,,fixed,"1:1, 4:3, 3:2, 16:9, 2.35:1, 4:5, 2:3, 9:16",No,No,No,No,1,Krea's realtime/enhance stack — fast iterative generation.,Quality tier below frontier.,"Live ideation, enhancement passes.",Final masters.
fal-ai/nucleus-image,Labs T2I misc,,t2i,0.01,$0.01/MP x 1MP,,fixed,"1:1, 16:9, 9:16, 4:3, 3:4, 3:2, 2:3",No,No,No,No,2,"Assorted lab models (SenseNova, Ovis, Boogu...).",Thin documentation and evals.,Evaluation and benchmarking.,Committed pipelines.
fal-ai/ovis-image,Labs T2I misc,,t2i,0.012,$0.012/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,4,"Assorted lab models (SenseNova, Ovis, Boogu...).",Thin documentation and evals.,Evaluation and benchmarking.,Committed pipelines.
fal-ai/sensenova-u1-infographic,Labs T2I misc,,t2i,0.05,$0.05 per 1K image,,fixed,"1:1, 16:9, 9:16, 3:2, 2:3, 4:3, 3:4, 1:2, 2:1",No,No,No,No,1,"Assorted lab models (SenseNova, Ovis, Boogu...).",Thin documentation and evals.,Evaluation and benchmarking.,Committed pipelines.
fal-ai/longcat-image,LongCat Image,,t2i,0.13,$0.13/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,4,Meituan's image line alongside LongCat video.,"Young, thin docs.",Ecosystem experiments.,Committed pipelines.
fal-ai/longcat-image/edit,LongCat Image,,i2i,0.15,$0.15/MP x 1MP,,fixed,fixed,Yes,No,No,No,4,Meituan's image line alongside LongCat video.,"Young, thin docs.",Ecosystem experiments.,Committed pipelines.
fal-ai/luma-photon,Luma Photon,Luma AI,t2i,0.019,$0.019/MP x 1MP,,fixed,"16:9, 9:16, 1:1, 4:3, 3:4, 21:9, 9:21",No,No,No,No,1,Photon/Photon Flash: cinematic-photographic look with strong reference/style conditioning.,Smaller ecosystem; text rendering weak.,"Film-look stills, style-locked series.","Typography, infographics."
fal-ai/luma-photon/flash,Luma Photon,Luma AI,t2i,0.005,$0.005/MP x 1MP,,fixed,"16:9, 9:16, 1:1, 4:3, 3:4, 21:9, 9:21",No,No,No,No,1,Photon/Photon Flash: cinematic-photographic look with strong reference/style conditioning.,Smaller ecosystem; text rendering weak.,"Film-look stills, style-locked series.","Typography, infographics."
fal-ai/luma-photon/flash/modify,Luma Photon,Luma AI,i2i,0.005,$0.005/MP x 1MP,,fixed,"1:1, 16:9, 9:16, 4:3, 3:4, 21:9, 9:21",Yes,No,No,No,1,Photon/Photon Flash: cinematic-photographic look with strong reference/style conditioning.,Smaller ecosystem; text rendering weak.,"Film-look stills, style-locked series.","Typography, infographics."
fal-ai/luma-photon/flash/reframe,Luma Photon,Luma AI,i2i,0.005,$0.005/MP x 1MP,,fixed,"1:1, 16:9, 9:16, 4:3, 3:4, 21:9, 9:21",Yes,No,No,No,1,Photon/Photon Flash: cinematic-photographic look with strong reference/style conditioning.,Smaller ecosystem; text rendering weak.,"Film-look stills, style-locked series.","Typography, infographics."
fal-ai/luma-photon/modify,Luma Photon,Luma AI,i2i,0.019,$0.019/MP x 1MP,,fixed,"1:1, 16:9, 9:16, 4:3, 3:4, 21:9, 9:21",Yes,No,No,No,1,Photon/Photon Flash: cinematic-photographic look with strong reference/style conditioning.,Smaller ecosystem; text rendering weak.,"Film-look stills, style-locked series.","Typography, infographics."
fal-ai/luma-photon/reframe,Luma Photon,Luma AI,i2i,0.019,$0.019/MP x 1MP,,fixed,"1:1, 16:9, 9:16, 4:3, 3:4, 21:9, 9:21",Yes,No,No,No,1,Photon/Photon Flash: cinematic-photographic look with strong reference/style conditioning.,Smaller ecosystem; text rendering weak.,"Film-look stills, style-locked series.","Typography, infographics."
luma/agent/uni-1/v1/edit,Luma Photon,Luma AI,i2i,0.042,$0.042 (parsed loosely),,fixed,fixed,Yes,No,No,Yes,1,Photon/Photon Flash: cinematic-photographic look with strong reference/style conditioning.,Smaller ecosystem; text rendering weak.,"Film-look stills, style-locked series.","Typography, infographics."
luma/agent/uni-1/v1/max,Luma Photon,Luma AI,t2i,0.102,$0.102. per image,,fixed,"3:1, 2:1, 16:9, 3:2, 1:1, 2:3, 9:16, 1:2, 1:3",No,No,No,Yes,1,Photon/Photon Flash: cinematic-photographic look with strong reference/style conditioning.,Smaller ecosystem; text rendering weak.,"Film-look stills, style-locked series.","Typography, infographics."
luma/agent/uni-1/v1/max/edit,Luma Photon,Luma AI,i2i,0.102,$0.102 (parsed loosely),,fixed,fixed,Yes,No,No,Yes,1,Photon/Photon Flash: cinematic-photographic look with strong reference/style conditioning.,Smaller ecosystem; text rendering weak.,"Film-look stills, style-locked series.","Typography, infographics."
luma/agent/uni-1/v1/text-to-image,Luma Photon,Luma AI,t2i,0.042,$0.042. per image,,fixed,"3:1, 2:1, 16:9, 3:2, 1:1, 2:3, 9:16, 1:2, 1:3",No,No,No,Yes,1,Photon/Photon Flash: cinematic-photographic look with strong reference/style conditioning.,Smaller ecosystem; text rendering weak.,"Film-look stills, style-locked series.","Typography, infographics."
fal-ai/lumina-image/v2,Lumina,,t2i,0.075,$0.075/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,4,Open DiT research model.,Research-grade.,Baselines.,Production.
microsoft/mai-image-2.5,Microsoft MAI,Microsoft,t2i,0.05,$0.05 per 1K image,,fixed,"auto, 1:1, 4:3, 3:4, 16:9, 9:16, 3:2, 2:3",No,No,No,No,4,Microsoft's first in-house image family; clean instruction following.,"Young — few reviews, unclear niche vs incumbents.",Azure-adjacent experimentation.,Production commitments.
microsoft/mai-image-2.5-pro,Microsoft MAI,Microsoft,t2i,0.17,$0.17 per image,,fixed,"auto, 1:1, 4:3, 3:4, 16:9, 9:16, 3:2, 2:3",No,No,No,No,4,Microsoft's first in-house image family; clean instruction following.,"Young — few reviews, unclear niche vs incumbents.",Azure-adjacent experimentation.,Production commitments.
microsoft/mai-image-2.5-pro/edit,Microsoft MAI,Microsoft,i2i,,token-based (varies with size/quality),,fixed,"auto, 1:1, 4:3, 3:4, 16:9, 9:16, 3:2, 2:3",Yes,No,No,No,4,Microsoft's first in-house image family; clean instruction following.,"Young — few reviews, unclear niche vs incumbents.",Azure-adjacent experimentation.,Production commitments.
microsoft/mai-image-2.5/edit,Microsoft MAI,Microsoft,i2i,0.05,$0.05 per 1K image,,fixed,"auto, 1:1, 4:3, 3:4, 16:9, 9:16, 3:2, 2:3",Yes,No,No,No,4,Microsoft's first in-house image family; clean instruction following.,"Young — few reviews, unclear niche vs incumbents.",Azure-adjacent experimentation.,Production commitments.
fal-ai/minimax/image-01,MiniMax Image,Minimax,t2i,,,,fixed,"1:1, 16:9, 4:3, 3:2, 2:3, 3:4, 9:16, 21:9",No,No,No,No,9,MiniMax's image side of the Hailuo stack.,Video is their focus.,Hailuo-ecosystem stills.,Standalone image work.
fal-ai/minimax/image-01/subject-reference,MiniMax Image,Minimax,i2i,0.01,$0.01 per image,,fixed,"1:1, 16:9, 4:3, 3:2, 2:3, 3:4, 9:16, 21:9",Yes,No,No,No,9,MiniMax's image side of the Hailuo stack.,Video is their focus.,Hailuo-ecosystem stills.,Standalone image work.
nvidia/cosmos-3-super/text-to-image,NVIDIA Cosmos Image,NVIDIA,t2i,0.04,$0.04 per 1K image,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,4,Physics-aware frames from the Cosmos world model.,Not aesthetic.,Robotics/AV data.,Creative work.
fal-ai/nano-banana,Nano Banana,Google,t2i,0.039,$0.039 per image,,fixed,"21:9, 16:9, 3:2, 4:3, 5:4, 1:1, 4:5, 3:4, 2:3, 9:16",No,No,No,No,4,Gemini-native editing with world knowledge at a very low price; fast.,1K fixed output; complex compositions simplify.,"Quick edits, meme-speed iteration, knowledge-aware tweaks.","4K masters, print."
fal-ai/nano-banana-2,Nano Banana,Google,t2i,0.08,$0.08 per image,16.8,"0.5K, 1K, 2K, 4K","auto, 21:9, 16:9, 3:2, 4:3, 5:4, 1:1, 4:5, 3:4, 2:3, 9:16, 4:1, 1:4, 8:1, 1:8",No,No,No,No,4,Gemini-native editing with world knowledge at a very low price; fast.,1K fixed output; complex compositions simplify.,"Quick edits, meme-speed iteration, knowledge-aware tweaks.","4K masters, print."
